Mike Matas,Software engineer
Bill Doyle,Engineer
Ryan Gravel,"Urban planner, designer, author"
Dan Pacholke,Prison administrator and reformer
Gary Haugen,Human rights attorney
Colin Stokes,Proud dad
Jeff Han,Human-computer interface designer
Robert Full,Biologist
Patricia Kuhl,Language 
Bruce Aylward,Epidemiologist
Meklit Hadero,Singer-songwriter
Xavier Vilalta,Architect and urbanist
Alejandro Aravena,Urban architect
Philippe Petit,High-wire artist
Inge Missmahl,Analytical psychologist
Nicholas Christakis,"Physician, social scientist"
Zaria Forman,Artist
Rachelle Garniez,Musician
Geoffrey West,Theorist
David Whyte,"Poet, author"
Eve Ensler,"Playwright, activist"
R.A. Mashelkar,"Scientist, innovator"
Shih Chieh Huang,Artist
Jennifer Kahn,Science journalist
Alison Jackson,Artist
Christina Warinner,Archaeological geneticist
Tim Leberecht,Business romantic
Katie Bouman,Imaging scientist
Stefana Broadbent,Tech anthropologist
Chinaka Hodge,"Writer, educator"
Ben Ambridge,Psychologist
Caroline Paul,Author
Sam Kass,Food entrepreneur
Anand Varma,Photographer
Emily Pilloton,Humanitarian design activist
Martine Rothblatt,Transhumanist
Richard Sears,Geophysicist
Melati and Isabel Wijsen,Activists
Jamie Drummond,Anti-poverty activist
Becci Manson,Photo Retoucher
Greg Lynn,Designer
Aicha el-Wafi + Phyllis Rodriguez,9/11 mothers
Rich Benjamin,Social observer
Lennart Green,Close-up card magician
Romulus Whitaker,Herpetologist
David Puttnam,Producer
Charles Anderson,Marine biologist
Philippa Neave,Electoral consultant
Andrew Bird,Musician
Antony Gormley,Sculptor
Safwat Saleem,"Artist, graphic designer, filmmaker"
Frans Lanting,Nature photographer
His Holiness Pope Francis,Bishop of Rome
David Keith,Environmental scientist
Adam Spencer,Science communicator
Sue Desmond-Hellmann,"CEO, Gates Foundation"
Carter Emmart,"Scientist, Artist "
Mitchell Besser,HIV/AIDS fighter
Alice Bows-Larkin,Climate scholar
Afra Raymond,Transparency activist
Rainer Strack,Human resources expert
P.W. Singer,Military analyst
David Perry,Game designer
Peter Calthorpe,Urban designer
Johan Rockstrom,Sustainability expert
Lucianne Walkowicz,Stellar astronomer
Lara Setrakian,Journalist
Natalie Merchant,Singer/songwriter
Susan Shaw,Marine toxicologist
Cary Fowler,Biodiversity archivist
TED staff,Amateur musicians
eL Seed,Artist
Hugh Evans,Humanitarian
Franz Freudenthal,Pediatric cardiologist
Mark Bittman,Food writer
Sam Martin,Writer
Rodney Brooks,Roboticist
Cat Laine,Social entrepreneur
Chris Anderson,Drone maker
Don Tapscott,Digital strategist
Cédric Villani,Mathematician
Melissa Walker,Creative arts therapist
Rhiannon Giddens,Musician
Françoise Mouly,Art editor
Jonas Gahr Støre,Foreign Minister of Norway
Erin McKean,Dictionary editor
Jeff Kirschner,Entrepreneur
Charles Robertson,Emerging-markets economist
Emma Teeling,Zoologist
Guy Hoffman,Roboticist
Simon Berrow,Marine biologist
Carlo Ratti,Architect and engineer
Natasha Tsakos,Artist
Sherry Turkle,Cultural analyst
Maya Beiser,Cellist
Charmian Gooch,Anti-corruption activist
Tristram Wyatt,Zoologist
George Dyson,Historian of science
Jonathan Klein,Executive
Gordon Brown,British Prime Minister
Kathryn Schulz,Wrongologist
David Kelley,"Designer, educator"
Greg Gage,Neuroscientist
Paul Zak,Neuroeconomist
Ben Kacyra,Digital preservationist
Geert Chatrou,Whistler
Malcolm London,"Poet, performer, activist"
Aparna Rao,Artist
Celeste Headlee,Writer and radio host
Bill Stone,"Explorer, inventor and outer space dreamer"
AJ Jacobs,Author
Peter Hirshberg,"Entrepreneur, marketer"
Naif Al-Mutawa,"Creator, The 99"
Julia Bacha,Filmmaker
Steve Ramirez and Xu Liu,Neuroscientist
Stephen Friend,Open-science advocate
Erin Marie Saltman,Policy researcher
Matthieu Ricard,"Monk, author, photographer"
Jamie Heywood,Healthcare revolutionary
Shimon Schocken,"Computer Scientist, Educator"
Liu Bolin,Artist
Péter Fankhauser,Roboticist
Karen Armstrong,Religious scholar
Uri Hasson,Neuroscientist
Rita Pierson,Educator
Al Vernacchio,Sexuality educator
Ralph Langner,Security consultant
David Pizarro,"Psychologist, Disgust researcher"
Dame Ellen MacArthur,Circular economy advocate
Uri Alon,Systems biologist
Jessa Gamble,Writer
Thomas Heatherwick,Designer
Elliot Krane,Pediatric anesthesiologist
Ellen Jorgensen,"Biologist, community science advocate"
Steve Silberman,Writer and editor
Daniel Schnitzer,"Founder and Executive Director, Earthspark International"
Sakena Yacoobi,Education activist
Iyad Rahwan,Computational social scientist
Steven Schwaitzberg,Surgeon and technologist
Andrew Pelling,Biohacker
Debra Jarvis,Chaplain + author
Bill and Melinda Gates,Philanthropist
Esta Soler,Violence and abuse prevention expert
Seema Bansal,Education innovator
Nalini Nadkarni,Tree researcher
Pearl Arredondo,Teacher
Garrett Lisi,Physicist
Jim Toomey,Cartoonist
Sarah Kay,Poet
Benjamin Grant,Author
Emily Oster,Assumption-busting economist
Jessica Green,Engineer and biodiversity scientist
Karoliina Korppoo,Game designer
Eduardo Briceño,Learning expert
Neil Gershenfeld,"Physicist, personal fab pioneer"
Kevin Kelly,Digital visionary
Shimon Steinberg,Entomologist
"Lauren Hodge, Shree Bose + Naomi Shah",Science fair winner
Sasa Vucinic,Nonprofit venture capitalist
Emilie Wapnick,"Writer, coach, artist ..."
Matthew O'Reilly,Emergency medical technician
Cosmin Mihaiu,Physical therapy entrepreneur
Dan Berkenstock,Satellite designer
James Geary,Aphorist
Guillaume Néry,World champion freediver
Rick Warren,"Pastor, author"
George Papandreou,Former Prime Minister of Greece
Fields Wicker-Miurin,Social entrepreneur
Onyx Ashanti,Beatjazz inventor and controllerist
Stefano Mancuso,Plant neurobiologist
Ken Robinson,Author/educator
Joel Levine,Planetary and atmospheric scientist
William Kamkwamba,Inventor
Devdutt Pattanaik,Mythologist
Mikko Hypponen,Cybersecurity expert
Julia Sweeney,"Actor, comedian, playwright"
Jeremy Kasdin,Planet finder
Natalie Warne,Activist
Tasos Frantzolas,Entrepreneur
Rodrigo Canales,Business professor
Frederick Balagadde,Inventor
Juan Enriquez,Futurist
Scott Dinsmore,"Writer, traveler"
Kenneth Lacovara,Paleontologist
Amy Adele Hasinoff,Communications researcher
Nancy Kanwisher,Brain researcher
Jared Diamond,Civilization scholar
Paul Moller,Inventor
Stuart Brown,"Play researcher, psychiatrist"
Kevin Breel,"Comedian, activist"
Jon Boogz and Lil Buck,Movement artist
Ursus Wehrli,Comedian
Martin Reeves,Strategist
Ashton Applewhite,"Author, activist"
Liz Coleman,College president
Chris Kluwe,Punter and author
Chris Urmson,Roboticist
Radhika Nagpal, Robotics engineer
Jill Heinerth,Cave diver
Michael Metcalfe,Financial expert
Suzanne Lee,Designer
Neri Oxman,"Architect, designer"
Mallory Soldner,Data activist
Mark Bezos,"Activist, volunteer firefighter"
Martin Hanczyc,Chemist
Emily Levine,Philosopher-comic
Megan Kamerick,Reporter
Paul Sereno,Paleontologist
Michael Dickinson,Biologist
Joseph DeSimone,"Chemist, inventor"
Jeanne Gang,Architect
Diane J. Savino,Senator
David Christian,Historian
David Camarillo,Bioengineer
Keith Barry,Magician
Carolyn Steel,Food urbanist
Jake Barton,Designer and storyteller
Tristan Harris,Design thinker
Ray Anderson,Sustainable-business pioneer
Dan Gilbert,Psychologist; happiness expert
Leila Hoteit,Women's advocate
Peter van Manen,Electronic systems expert
David Carson,Type designer
Catherine Bracy,"Hacker, community manager"
Dan Pink,Career analyst
Peter Saul,"Doctor, intensive care specialist"
They Might Be Giants,Band
Drew Berry,Biomedical animator
Candy Chang,"Artist, designer, urban planner"
Gabe Barcia-Colombo,Video sculptor
Rick Falkvinge,
Thordis Elva and Tom Stranger,Writer
Nina Jablonski,Anthropologist
Steven Johnson,Writer
Gail Reed,Cuban health care expert
Jan Chipchase,User anthropologist
Freeman Hrabowski,Educator
Hilary Cottam,Innovator and social entrepreneur
Jonathan Zittrain,Net watchdog
Daria van den Bercken,Pianist
Garik Israelian,Astrophysicist
James A. White Sr.,Consultant
George Smoot,Astrophysicist
Peter Attia,Surgeon
Tom Wujec,Designer
Sirena Huang,Violinist
Nate Garvis,Civic thought leader
Matt Mills,Technologist
Carrie Nugent,Asteroid hunter
Scott Rickard,Mathematician
Ramsey Musallam,Educator
Gary Vaynerchuk,Entrepreneur
Rainn Wilson,"Actor, writer"
Pranav Mistry,"Director of research, Samsung Research America"
Carol Dweck,Psychologist
Anthony Goldbloom,Machine learning expert
Amber Case,Cyborg Anthropologist 
Michael Hansmeyer,Computational architect
Noah Feldman,Constitutional law scholar
Gary Lauder's new traffic sign,Venture capitalist
David Deutsch,Quantum physicist
Adam Galinsky,Social psychologist
Sebastian Kraves,Biotech entrepreneur
Paolo Cardini,Designer
George Whitesides,Chemist
Gregory Heyworth,Textual scientist
Daniel Goldstein,Behavioral economist
Wendy Freedman,Astronomer
Kenneth Shinozuka,Smart product inventor
Marvin Minsky,AI pioneer
Keolu Fox,"Geneticist, indigenous rights activist"
Eman Mohammed,Photojournalist
Dave Isay,Story collector
Kailash Satyarthi,Children’s rights activist
Sheila Nirenberg,Neuroscientist
Barbara Natterson-Horowitz,Cardiologist
Sebastián Bortnik,Information security specialist 
Hannah Fry,Complexity theorist
Teddy Cruz,Architect and urbanist
Nathalie Cabrol,Planetary explorer
Maurizio Seracini,Art diagnostician
Joshua Klein,Hacker
Abe Davis,Computer scientist
Gerard Ryle,Investigative journalist
James Howard Kunstler,Social critic
Anne Curzan,Language historian
Richard J. Berry,Mayor of Albuquerque
Robin Chase,Transport networker
Oded Shoseyov,Nanobiotechnologist
Rob Forbes,Designer
Dean Ornish,"Physician, author"
Michael Merzenich,Neuroscientist
Aspen Baker,Listener
Scott Summit,Industrial Designer
Zeresenay Alemseged,Paleoanthropologist
Mark Applebaum,Composer
Keith Chen,Behavioral economist
Alan Eustace,Stratospheric explorer
Anne Milgram,Criminal justice reformer
David Grady,Information security manager
Anote Tong,President of the Republic of Kiribati
OluTimehin Adegbeye,"Writer, activist"
Jennifer Golbeck,Computer scientist
Nick Veasey,X-ray visionary
Chris Domas,Cybersecurity researcher
Robert Sapolsky,"Neuroscientist, primatologist, writer"
Dilip Ratha,Remittances expert
Magda Sayeg,Textile artist
Charles Fleischer,"Comedian, voice artist"
José Antonio Abreu,Maestro
Alison Gopnik,Child development psychologist
Colin Grant,"Author, historian"
Eva Zeisel,Designer
Marc Pachter,Cultural Historian
Erik Brynjolfsson,Innovation researcher
Doris Kearns Goodwin,Historian
Pardis Sabeti,Computational geneticist
Nellie McKay,Singer/songwriter
Edith Widder,Marine biologist
Denise Herzing,Dolphin researcher
Dave Meslin,Artist and organizer
Oren Yakobovich,Human-rights activist
Erik Hersman,Technologist
Salil Dudani,Legal activist
LZ Granderson,Journalist
Mick Ebeling,Entrepreneur
Shirin Neshat,Iranian visual artist
David Casarett,Physician
Dambisa Moyo,Global economist 
Emmanuel Jal,Hip-hop artist
Chris McKnett,Sustainable investment champion
Topher White,Conservation technologist
Sarah Kaminsky,Actor and writer
Angela Patton,Activist
Aaron O'Connell,Physicist
Christopher Ryan,Psychologist
Cynthia Kenyon,"Biochemist, geneticist"
OK Go,Band
Tan Le,Entrepreneur
Sebastian Wernicke,Data scientist
Iqbal Quadir,"Founder, GrameenPhone"
Karen Tse,Anti-torture activist
Joshua Silver,Optical innovator
Kevin Briggs,Golden Gate guardian
Harsha Bhogle,Cricket commentator
Beeban Kidron,Film director
Siegfried Woldhek,Illustrator
Daphne Bavelier,Cognitive researcher
Kim Gorgens,Neuropsychologist
Antonio Damasio,Neuroscientist
Drew Dudley,Leadership educator
Marco Annunziata,Economist
Douglas Adams,"Author, satirist"
Michael Bierut,"Designer, critic"
Dawn Landes,Singer-songwriter
Gonzalo Vilariño,"Lawyer, coach"
Ueli Gegenschatz,Aerialist
Srdja Popovic,Organizer
Sangeeta Bhatia,"Physician, bioengineer and entrepreneur "
Ronny Edry,Graphic Designer
Michael Kimmel,Sociologist
Joe Lassiter,Energy scholar
Keller Rinaudo,Robotics entrepreneur
Sivamani,Percussionist
Joel Burns,City councilman
Yanis Varoufakis,Economist and professor
Bastian Schaefer,Aircraft engineer
Shaka Senghor,Author
Faith Jegede Cole,Writer
Toni Griffin,Place maker
Thomas Thwaites,Designer
David R. Dow,Death penalty lawyer
Kate Orff,Landscape architect
Chip Kidd,Graphic designer
Ellen 't Hoen,Medicine law expert
Alyson McGregor,Women's health pioneer
Sebastian Seung,Computational neuroscientist
Caroline Phillips,Musician
Yassmin Abdel-Magied,"Mechanical engineer, social advocate"
Andrew Blum,Network author
Edwidge Danticat,Author
Dianna Cohen,Artist and activist
Negin Farsad,"Comedian, filmmaker"
Caleb Chung,Toy designer
Kaki King,Guitarist
Homaro Cantu + Ben Roche,Chef
Esther Duflo,Development economist
Beverly + Dereck Joubert,"Conservationists, filmmakers"
Thomas Goetz,Healthcare communicator
Stanley McChrystal,Military leader
Ted Halstead,"Policy entrepreneur, climate expert, author"
John Bohannon,Science writer
Colin Powell,Former U.S. Secretary of State
Margaret Bourdeaux,"Physician, global health policy analyst"
Jose Miguel Sokoloff,Anti-guerrilla creative
Sebastian Thrun,Engineer
Anna Deavere Smith,"Actor, playwright, social critic"
Jessica Shortall,"Strategy consultant, social entrepreneur and author"
Casey Brown,Pricing consultant
Jeff Speck,Urban planner
Al Gore,Climate advocate
Eric Topol,Cardiologist and geneticist 
Robert Hammond,Friend of the High Line
Béatrice Coron,Papercutter artist
Yoav Medan,Medical inventor
BLACK,Yo-yo champion
Omar Ahmad,"Technologist, city councilman"
John Doerr,Venture capitalist
Serena Williams and Gayle King,Athlete
Arthur Potts Dawson,Green chef
James Lyne,Cybersecurity specialist
Spencer Wells,Genographer
Mark Ronson,Music producer and DJ
David Eagleman,Neuroscientist
Kent Larson,Architect
Steven Levitt,Economist
Stewart Brand + Mark Z. Jacobson,"Environmentalist, futurist"
Francis de los Reyes,"Environmental engineer, sanitation activist"
Ruth Chang,Philosopher
Ernest Madu,Cardiologist
Laura Indolfi,Biomedical entrepreneur
Bahia Shehab,Artist and historian
Jenna McCarthy,Writer
Kristen Marhaver,Coral reef biologist
Maajid Nawaz,Anti-extremism activist
Alice Dreger,Historian
Stefon Harris,Jazz vibraphonist
Jinsop Lee,Multi-sense designer
Kenneth Cukier,Data Editor of The Economist
Bruno Torturra,Livestreaming activist
Timothy Ihrig,Palliative care physician
Ash Beckham,Equality advocate
Gary Flake,Technologist
Alan Smith,Data visualisation editor
Keith Bellows,Traveler
Julie Lythcott-Haims,"Academic, author"
Rufus Griscom + Alisa Volkman,Website co-founders
Laura Robinson,Ocean scientist
Hadyn Parry,Biotechnology entrepreneur
Nilofer Merchant,"Corporate director, author"
William Ury,Mediator
Eleni Gabre-Madhin,Economist
Marcel Dicke,Ecological entomologist
Massimo Banzi,Physical Computing Guru
Kartick Satyanarayan,Wildlife conservationist 
Richard Wilkinson,Public health researcher
Judson Brewer,Mindful addiction doctor
Nate Silver,Statistician
Elizabeth Loftus,False memories scholar
Theo Jansen,Artist
Laurie Santos,Cognitive psychologist
David Binder,Theater producer
Veerle Provoost,Bioethicist
Shukla Bose,Education activist
Laura Trice,"Counselor, coach and baker"
Ron Gutman,Entrepreneur
Alwar Balasubramaniam,Artist
Jonathan Foley,Professor
Angela Lee Duckworth,Psychologist
Harvey Fineberg,Health policy expert
Jonathan Drori,Educator
Adam Savage,"Maker, critical thinker"
Joe Kowan,Musician and graphic designer
Heribert Watzke,Food scientist
Stephen Burt,Poetry critic
Jim Simons,"Philanthropist, mathematician"
Amanda Bennett,Journalist
Pete Alcorn,Media exec
Auret van Heerden,Labor-rights activist
Yves Rossy,Jetman
Qi Zhang,Organist
Patricia Ryan,Language teacher
Jaime Lerner,City evangelist
James Green, Space physicist
Olivier Scalabre,Industrial systems thinker
Ivan Oransky,Health reporter
Inara George,Singer and songwriter
Glenn Greenwald,Journalist
Lauren Zalaznick,Media executive
Aziza Chaouni,Architect + ecotourism specialist
McKenna Pope,Teen activist
John Gerzema,Marketing whiz
Elizabeth Nyamayaro,Political scientist
Leonard Susskind,Physicist
Peter Haas,Building activist
Abraham Verghese,Physician and author
Ivan Krastev,Public intellectual
Greg Stone,Oceanographer
Jackson Katz,Anti-sexism educator
Robert Gordon,Economist
Hannah Brencher,Letter enthusiast
John Hockenberry,Journalist
Raspyni Brothers,Jugglers
Jennifer Pahlka,Code activist
Rebecca MacKinnon,Internet freedom activist
Raul Midon,Guitarist
Erik Schlangen,Experimental micromechanics pioneer
Liz Diller,Designer
Michael Specter,Writer
Mac Stone,Photographer
Neil Turok,"Physicist, education activist"
Rogier van der Heide,Lighting designer
James Randi,Skeptic and conjuror
Daniel Suarez,Sci-fi author
Andy Yen,Secure email developer
Kang Lee,Developmental researcher
Jeremy Howard,Data scientist
Patrícia Medici,Wildlife conservationist
Malcolm McLaren,Provocateur
Tony Porter,"Author, educator, activist"
Nikolai Begg,Mechanical engineer
Jack Choi,Technologist
David Sengeh,Biomechatronics engineer
Richard Weller,Dermatologist
Sebastian Junger,Journalist and documentarian
Chieko Asakawa,Visionary inventor
Bruno Maisonnier,Roboticist
Adam Driver,Actor and Marine Corps veteran
John Francis,Planet walker
Andrew Youn,Anti-hunger activist
Bruce McCall,Humorist
Laura Schulz,Cognitive scientist
Chetan Bhatt,"Sociologist, human rights activist"
Clint Smith,"Poet, educator"
David Brooks,Op-ed columnist 
Roman Mars,Digital storyteller
Gero Miesenboeck,Optogeneticist
AnnMarie Thomas,Educator
Rachel Pike,Atmospheric chemist
Marc Kushner,Architect
Caleb Harper,Principal Investigator and Director of the Open Agriculture Initiative
Ellen Dunham-Jones,Architect
Onora O'Neill,Philosopher
Shaffi Mather,"Social entrepreneur, lawyer"
David Gallo,Oceanographer
The Lady Lifers,Inmates
Luca Turin,Nose
Gever Tulley,Tinkerer
Teitur,Singer-songwriter
Brian Cox,Physicist 
Roger Doiron,Gardening activist
C.K. Williams,Poet
Edward Burtynsky,Photographer
Joe Gebbia,"Designer, co-founder of Airbnb"
Damon Davis,Artist and filmmaker
Theo E.J. Wilson,Public intellectual
James B. Glattfelder,Complex systems theorist
Christopher McDougall,"Journalist, runner"
Corneille Ewango,Botanist and activist
Toby Eccles,Social investment visionary
Mike Velings,Entrepreneur and conservationist
Paul Greenberg,Author
Alix Generous,Advocate
Anika Paulson,"Student, musician"
Philip Rosedale,Entrepreneur
Michael Nielsen,Physicist
Bran Ferren,Technology designer
Aimee Mullins,Athlete and actor
Paul Knoepfler,Biologist
Shea Hembrey,Artist and curator
Brian Goldman,"Physician, broadcaster"
Suheir Hammad,"Poet, playwright"
Annie Murphy Paul,Science author
Robyn Stein DeLuca,Psychologist
Paul Stamets,Mycologist
Herbie Hancock,Jazz legend
Sting,"Composer, singer, author, actor, activist"
Sugata Mitra,Education researcher
Donald Sadoway,Materials engineer
Aaron Koblin,Data artist
Becky  Blanton,Writer
Thandie Newton,Actor
Rob Legato,Visual Effects Guru
